證券代碼,年,員工人數 (揭露值),男性人數,女性人數,男性比率%,女性比率%,離平均%
6923 中台,2021,153,112,41,73.2,26.8,26.8
6952 大武山,2021,168,91,77,54.17,45.83,45.83
8011 台通,2021,,,,71.13,28.87,28.87
8016 矽創,2021,347,246,101,70.89,29.11,29.11
8021 尖點,2021,720,442,278,61.39,38.61,38.61
8028 昇陽半導體,2021,807,,,,,0
8039 台虹,2021,868,665,203,76.61,23.39,23.39
8046 南電,2021,6094,4056,2038,66.56,33.44,33.44
8070 長華*,2021,2145,1303,842,60.75,39.25,39.25
8081 致新,2021,,,,72,28,28
8103 瀚荃,2021,180,94,86,52.22,47.78,47.78
8105 凌巨,2021,2109,1092,1017,51.78,48.22,48.22
8110 華東,2021,2320,1100,1220,47.41,52.59,47.41
8112 至上,2021,196,138,58,70.41,29.59,29.59
8114 振樺電,2021,314,135,179,42.99,57.01,42.99
8131 福懋科,2021,2386,1240,1146,51.97,48.03,48.03
8150 南茂,2021,5540,2529,3011,45.65,54.35,45.65
8163 達方,2021,10451,5480,4971,52.44,47.56,47.56
8201 無敵,2021,111,66,45,59.46,40.54,40.54
8210 勤誠,2021,2378,1419,959,59.67,40.33,40.33
8215 明基材,2021,2552,1584,968,62.07,37.93,37.93
8249 菱光,2021,,,,57,43,43
8261 富鼎,2021,,,,42,58,42
8271 宇瞻,2021,536,260,276,48.51,51.49,48.51
8341 日友,2021,359,287,72,80,20,20
8404 百和興業-KY,2021,3741,1698,2043,45.39,54.61,45.39
8411 福貞-KY,2021,648,432,216,66.67,33.33,33.33
8422 可寧衛,2021,157,113,44,71.97,28.03,28.03
8443 阿瘦,2021,430,58,372,13.49,86.51,13.49
8454 富邦媒,2021,2771,1012,1759,36.52,63.48,36.52
8464 億豐,2021,12387,6070,6317,49,51,49
8467 波力-KY,2021,870,421,449,48.39,51.61,48.39
8473 山林水,2021,787,587,200,74.59,25.41,25.41
8926 台汽電,2021,128,91,37,71.09,28.91,28.91
8940 新天地,2021,357,165,192,46.22,53.78,46.22
8996 高力,2021,487,348,139,71.46,28.54,28.54
9110 越南控-DR,2021,1116,886,230,79.39,20.61,20.61
911622 泰聚亨-DR,2021,754,506,248,67.11,32.89,32.89
911868 同方友友-DR,2021,703,291,412,41.39,58.61,41.39
912000 晨訊科-DR,2021,1651,979,672,59.3,40.7,40.7
9136 巨騰-DR,2021,32717,18660,14057,57.03,42.97,42.97
9802 鈺齊-KY,2021,24773,6428,18345,25.95,74.05,25.95
9902 台火,2021,,,,60,40,40
9904 寶成,2021,320740,72167,248574,22.5,77.5,22.5
9907 統一實,2021,1126,1014,112,90.05,9.95,9.95
9908 大台北,2021,255,173,82,67.84,32.16,32.16
9910 豐泰,2021,138310,51325,86985,37.1,62.9,37.1
9911 櫻花,2021,993,621,372,62,38,38
9917 中保科,2021,2441,1992,449,81.61,18.39,18.39
9919 康那香,2021,,,,48.16,51.84,48.16
9921 巨大,2021,12941,,,,,0
9924 福興,2021,1330,616,714,46,54,46
9925 新保,2021,1778,1469,309,82.6,17.4,17.4
9926 新海,2021,165,124,41,75.15,24.85,24.85
9930 中聯資源,2021,271,249,22,91.88,8.12,8.12
9933 中鼎,2021,2668,1992,676,74.66,25.34,25.34
9934 成霖,2021,2182,1221,961,55.96,44.04,44.04
9938 百和,2021,5299,2325,2974,43.88,56.12,43.88
9939 宏全,2021,1428,1096,332,76.75,23.25,23.25
9940 信義,2021,5092,3078,2014,60.45,39.55,39.55
9941 裕融,2021,680,242,438,35.59,64.41,35.59
9943 好樂迪,2021,,,,46.4,53.6,46.4
9945 潤泰新,2021,248,85,163,34.27,65.73,34.27
9958 世紀鋼,2021,322,241,81,74.84,25.16,25.16
1101 台泥,2022,1173,941,232,80.22,19.78,19.78
1102 亞泥,2022,1750,1530,220,87.43,12.57,12.57
1103 嘉泥,2022,444,216,228,48.65,51.35,48.65
1104 環泥,2022,497,403,94,81.09,18.91,18.91
1108 幸福,2022,459,376,83,82,18,18
1109 信大,2022,342,313,29,91.52,8.48,8.48
1110 東泥,2022,104,92,12,88.46,11.54,11.54
1201 味全,2022,1419,902,517,63.57,36.43,36.43
1203 味王,2022,713,356,357,49.93,50.07,49.93
1210 大成,2022,2903,1926,977,66.35,33.65,33.65
1213 大飲,2022,144,82,62,57,43,43
1215 卜蜂,2022,2226,1174,1052,52.74,47.26,47.26
1216 統一,2022,5578,3415,2163,61.22,38.78,38.78
1217 愛之味,2022,567,243,324,42.86,57.14,42.86
1218 泰山,2022,700,422,278,60.29,39.71,39.71
1219 福壽,2022,594,427,167,71.89,28.11,28.11
1220 台榮,2022,208,145,63,69.71,30.29,30.29
1225 福懋油,2022,236,131,105,55.51,44.49,44.49
1227 佳格,2022,1327,914,413,68.88,31.12,31.12
1229 聯華,2022,326,213,113,65.34,34.66,34.66
1231 聯華食,2022,2327,1038,1289,44.61,55.39,44.61
1232 大統益,2022,146,101,45,69.18,30.82,30.82
1233 天仁,2022,1366,501,865,36.68,63.32,36.68
1234 黑松,2022,544,383,161,70.4,29.6,29.6
1235 興泰,2022,17,10,7,58.82,41.18,41.18
1236 宏亞,2022,759,312,447,41.11,58.89,41.11
1256 鮮活果汁-KY,2022,969,429,540,44.27,55.73,44.27
1301 台塑,2022,6379,5745,634,90.06,9.94,9.94
1303 南亞,2022,18389,14616,3773,79.48,20.52,20.52
1304 台聚,2022,453,422,31,93.16,6.84,6.84
1305 華夏,2022,896,810,86,90.4,9.6,9.6
1307 三芳,2022,580,464,116,80,20,20
1308 亞聚,2022,234,222,12,94.87,5.13,5.13
1309 台達化,2022,502,432,70,86.06,13.94,13.94
1310 台苯,2022,196,169,27,86.22,13.78,13.78
1312 國喬,2022,392,359,33,91.58,8.42,8.42
1313 聯成,2022,219,167,52,76.26,23.74,23.74
1314 中石化,2022,1233,1029,204,83.45,16.55,16.55
1316 上曜,2022,72,28,44,38.89,61.11,38.89
1319 東陽,2022,3483,2817,666,80.88,19.12,19.12
1321 大洋,2022,454,406,48,89.43,10.57,10.57
1323 永裕,2022,710,377,333,53.1,46.9,46.9
1326 台化,2022,5166,4452,714,86.18,13.82,13.82
1337 再生-KY,2022,576,401,175,69.62,30.38,30.38
1338 廣華-KY,2022,2382,1416,966,59.45,40.55,40.55
1402 遠東新,2022,21949,10975,10975,50,50,50
1409 新纖,2022,1498,1172,326,78.24,21.76,21.76
1413 宏洲,2022,230,174,56,75.65,24.35,24.35
1414 東和,2022,228,110,118,48.25,51.75,48.25
1416 廣豐,2022,121,,,,,0
1419 新紡,2022,562,208,354,37.01,62.99,37.01
1434 福懋,2022,7429,4341,3088,58.43,41.57,41.57
1437 勤益控,2022,17,5,12,29.41,70.59,29.41
1440 南紡,2022,1023,794,229,77.61,22.39,22.39
1442 名軒,2022,42,24,18,57.14,42.86,42.86
1444 力麗,2022,1065,696,369,65.35,34.65,34.65
1447 力鵬,2022,1270,791,479,62.28,37.72,37.72
1451 年興,2022,9523,3242,6281,34.04,65.96,34.04
1452 宏益,2022,,,,37,63,37
1455 集盛,2022,1261,850,411,67.41,32.59,32.59
1457 宜進,2022,358,246,112,68.72,31.28,31.28
1459 聯發,2022,193,117,76,60.62,39.38,39.38
1460 宏遠,2022,2696,1321,1375,49,51,49
1464 得力,2022,840,378,462,45,55,45
1466 聚隆,2022,355,244,111,68.73,31.27,31.27
1467 南緯,2022,1875,416,1459,22.19,77.81,22.19
1470 大統新創,2022,,,93,64,36,36
1472 三洋實業,2022,100,52,48,52,48,48
1473 台南,2022,13549,,,,,0
1476 儒鴻,2022,18800,3075,15725,16.36,83.64,16.36
1477 聚陽,2022,34798,6345,28453,18.23,81.77,18.23
1503 士電,2022,2069,1444,625,69.79,30.21,30.21
1504 東元,2022,4552,3064,1488,67.31,32.69,32.69
1506 正道,2022,248,166,82,66.94,33.06,33.06
1513 中興電,2022,1746,1406,340,80.53,19.47,19.47
1514 亞力,2022,747,619,128,19.78,19.78,19.78
1515 力山,2022,724,504,220,69.61,30.39,30.39
1517 利奇,2022,712,319,393,44.8,55.2,44.8
1519 華城,2022,775,591,184,76.26,23.74,23.74
1521 大億,2022,,,,67,33,33
1522 堤維西,2022,1607,1118,489,69.57,30.43,30.43
1525 江申,2022,348,290,58,83.33,16.67,16.67
1526 日馳,2022,183,118,65,64.48,35.52,35.52
1527 鑽全,2022,711,513,198,72.15,27.85,27.85
1529 樂事綠能,2022,61,,,,,0
1531 高林股,2022,593,428,165,72.18,27.82,27.82
1532 勤美,2022,1769,1409,360,79.65,20.35,20.35
1533 車王電,2022,919,409,510,44.5,55.5,44.5
1535 中宇,2022,1200,1032,168,86,14,14
1536 和大,2022,1124,900,224,80.07,19.93,19.93
1558 伸興,2022,2330,920,1410,39.48,60.52,39.48
1560 中砂,2022,1771,1141,630,64.43,35.57,35.57
1563 巧新,2022,1532,1310,222,85.51,14.49,14.49
1582 信錦,2022,241,155,86,64.32,35.68,35.68
1589 永冠-KY,2022,2285,1951,334,85.38,14.62,14.62
1590 亞德客-KY,2022,8547,6201,2346,72.55,27.45,27.45
1597 直得,2022,,,,62.68,27.32,27.32
1598 岱宇,2022,616,386,230,62.66,37.34,37.34
1604 聲寶,2022,1028,685,343,66.63,33.37,33.37
1605 華新,2022,6888,5848,1040,84.9,15.1,15.1
1608 華榮,2022,434,365,69,84.1,15.9,15.9
1609 大亞,2022,1566,1287,279,82.18,17.82,17.82
1611 中電,2022,157,,,,,0
1612 宏泰,2022,379,293,86,77.31,22.69,22.69
1614 三洋電,2022,1101,925,176,84.01,15.99,15.99
1626 艾美特-KY,2022,2737,1613,1124,58.93,41.07,41.07
1702 南僑,2022,4641,2029,2612,43.72,56.28,43.72
1707 葡萄王,2022,637,304,333,47.72,52.28,47.72
1708 東鹼,2022,175,142,33,81.14,18.86,18.86
1709 和益,2022,333,287,46,86.19,13.81,13.81
1710 東聯,2022,365,324,41,88.77,11.23,11.23
1711 永光,2022,1820,1380,440,75.82,24.18,24.18
1712 興農,2022,1378,835,543,60.6,39.4,39.4
1713 國化,2022,83,73,10,87.95,12.05,12.05
1714 和桐,2022,102,68,34,66.67,33.33,33.33
1717 長興,2022,4866,3706,1160,76.16,23.84,23.84
1718 中纖,2022,555,465,90,83.78,16.22,16.22
1720 生達,2022,778,336,442,43.19,56.81,43.19
1721 三晃,2022,521,402,119,77.16,22.84,22.84
1722 台肥,2022,633,504,129,79.62,20.38,20.38
1723 中碳,2022,312,271,41,86.86,13.14,13.14
1725 元禎,2022,112,77,35,68.75,31.25,31.25
1726 永記,2022,728,572,156,78.57,21.43,21.43
1727 中華化,2022,261,206,55,78.93,21.07,21.07
1730 花仙子,2022,308,131,177,42.53,57.47,42.53
1731 美吾華,2022,,,,30,70,30
1732 毛寶,2022,161,78,83,48.45,51.55,48.45
1733 五鼎,2022,772,210,562,27.2,72.8,27.2
1735 日勝化,2022,215,172,43,80,20,20
1736 喬山,2022,1286,881,405,68.51,31.49,31.49
1737 臺鹽,2022,479,280,199,58.46,41.54,41.54
1760 寶齡富錦,2022,,,260,32.3,67.7,32.3
1762 中化生,2022,358,263,95,73.46,26.54,26.54
1773 勝一,2022,423,346,77,78.46,17.46,17.46
1776 展宇,2022,123,87,36,70.73,29.27,29.27
1786 科妍,2022,,,,44,56,44
1789 神隆,2022,675,466,209,69.04,30.96,30.96
1795 美時,2022,1058,628,430,59.36,40.64,40.64
1802 台玻,2022,3979,3344,635,84.04,15.96,15.96
1806 冠軍,2022,698,535,163,76.65,23.35,23.35
1808 潤隆,2022,267,162,105,60.67,39.33,39.33
1810 和成,2022,1058,821,237,77.6,22.4,22.4
1817 凱撒衛,2022,156,79,77,50.64,49.36,49.36
1903 士紙,2022,77,21,56,27.27,72.73,27.27
1904 正隆,2022,6715,5218,1497,77.71,28.69,28.69
1905 華紙,2022,2865,2440,425,85.17,14.83,14.83
1907 永豐餘,2022,10189,7703,2486,75.6,24.4,24.4
1909 榮成,2022,1157,980,177,84.7,15.3,15.3
2002 中鋼,2022,9668,9324,344,96.44,3.54,3.54
2006 東和鋼鐵,2022,1938,1767,171,91.18,8.82,8.82
2007 燁興,2022,426,378,48,88.73,11.27,11.27
2008 高興昌,2022,219,194,25,88.58,11.42,11.42
2009 第一銅,2022,236,213,23,90.25,9.75,9.75
2010 春源,2022,1114,946,168,84.92,15.08,15.08
2012 春雨,2022,587,452,135,77,23,23
2013 中鋼構,2022,463,395,68,85.31,14.69,14.69
2014 中鴻,2022,1140,1038,102,91.05,8.95,8.95
2015 豐興,2022,948,899,49,94.83,5.17,5.17
2017 官田鋼,2022,282,,,,,0
2020 美亞,2022,372,305,67,81.99,18.01,18.01
2022 聚亨,2022,119,68,51,57.14,42.86,42.86
2023 燁輝,2022,1406,1260,146,89.62,10.38,10.38
2025 千興,2022,54,42,12,77.78,22.22,22.22
2027 大成鋼,2022,1045,812,233,77.7,22.3,22.3
2028 威致,2022,381,361,20,94.75,5.25,5.25
2029 盛餘,2022,503,440,63,87.48,12.52,12.52
2030 彰源,2022,624,538,86,86.22,13.78,13.78
2031 新光鋼,2022,274,212,62,77.37,22.63,22.63
2034 允強,2022,810,699,111,86.3,13.7,13.7
2049 上銀,2022,4714,3970,744,84.22,84.22,15.78
2059 川湖,2022,1520,936,584,61.58,38.42,38.42
2062 橋椿,2022,982,632,350,64.36,35.64,35.64
2069 運錩,2022,,,,65.87,34.13,34.13
2101 南港,2022,1920,1647,273,85.78,14.22,14.22
2102 泰豐,2022,451,393,58,87.14,11.81,11.81
2103 台橡,2022,1628,1346,282,82.68,17.32,17.32
2104 國際中橡,2022,664,519,145,78.16,21.84,21.84
2105 正新,2022,18034,12980,5054,71.98,28.02,28.02
2106 建大,2022,11038,6635,4403,60.11,39.89,39.89
2107 厚生,2022,195,148,47,75.9,24.1,24.1
2108 南帝,2022,310,284,26,91.61,8.39,8.39
2109 華豐,2022,626,401,225,64,36,36
2115 六暉-KY,2022,1244,764,480,61.41,38.59,38.59
2201 裕隆,2022,1155,1040,115,90.04,9.96,9.96
2204 中華,2022,2066,1785,281,86.4,13.6,13.6
2206 三陽工業,2022,2392,2088,304,87.29,12.71,12.71
2207 和泰車,2022,563,341,222,60.57,39.43,39.43
2208 台船,2022,2936,2749,187,93.63,6.37,6.37
2211 長榮鋼,2022,566,443,123,78.27,21.73,21.73
2227 裕日車,2022,367,262,105,71.39,28.61,28.61
2233 宇隆,2022,,,,44,56,44
2248 華勝-KY,2022,,,,49.75,50.25,49.75
2301 光寶科,2022,32230,17491,14739,54.3,45.7,45.7
2303 聯電,2022,20910,12173,8737,58.22,41.78,41.78
2305 全友,2022,90,56,34,62.22,37.78,37.78
2308 台達電,2022,85684,42304,43380,49.37,50.63,49.37
2312 金寶,2022,54091,24745,29346,45.75,54.25,45.75
2313 華通,2022,20995,12577,8418,59.9,40.1,40.1
2314 台揚,2022,958,523,435,54.59,45.41,45.41
2316 楠梓電,2022,,,,45,55,45
2317 鴻海,2022,925890,,,,,0
2323 中環,2022,669,430,239,64.28,35.72,35.72
2324 仁寶,2022,63134,38597,24537,61.14,38.86,38.86
2327 國巨,2022,8614,3860,4754,44.81,55.19,44.81
2328 廣宇,2022,5267,2397,2870,0.46,0.54,0.54
2329 華泰,2022,4990,1837,3153,36.81,63.19,36.81
2330 台積電,2022,73677,48261,25416,65.5,34.5,34.5
2331 精英,2022,3592,2027,1565,56.43,43.57,43.57
2332 友訊,2022,515,283,232,54.95,45.05,45.05
2337 旺宏,2022,3948,2363,1585,59.85,40.15,40.15
2338 光罩,2022,373,215,158,57.64,42.36,42.36
2340 台亞,2022,790,329,461,41.65,58.35,41.65
2342 茂矽,2022,599,267,332,44.57,55.43,44.57
2344 華邦電,2022,4226,2940,1286,69.57,30.43,30.43
2345 智邦,2022,4602,2411,2191,52.39,47.61,47.61
2347 聯強,2022,1267,742,525,58.56,41.44,41.44
2348 海悅,2022,192,93,99,48.44,51.56,48.44
2349 錸德,2022,536,380,156,70.9,29.1,29.1
2351 順德,2022,1500,1036,464,69.07,30.93,30.93
2352 佳世達,2022,6924,4451,2473,64.28,35.72,35.72
2353 宏碁,2022,7725,4824,2901,62.45,37.55,37.55
2354 鴻準,2022,10605,6286,4319,59.27,40.73,40.73
2355 敬鵬,2022,6860,3764,3096,54.87,45.13,45.13
2356 英業達,2022,19639,11752,7887,59.84,40.16,40.16
2357 華碩,2022,16340,10048,6292,61.49,38.51,38.51
2359 所羅門,2022,302,,,,,0
2360 致茂,2022,1964,1519,445,77.34,22.66,22.66
2362 藍天,2022,1855,1017,838,54.82,45.18,45.18
2363 矽統,2022,204,,,,,0
2365 昆盈,2022,102,41,61,40.2,59.8,40.2
2367 燿華,2022,5066,2730,2336,53.89,46.11,46.11
2368 金像電,2022,6547,3891,2656,59.43,40.57,40.57
2369 菱生,2022,2291,1086,1205,47.4,52.6,47.4
2371 大同,2022,2500,1850,650,74,26,26
2373 震旦行,2022,997,698,299,70.01,29.99,29.99
2374 佳能,2022,508,316,192,62.2,37.8,37.8
2376 技嘉,2022,7269,4282,2987,58.91,41.09,41.09
2377 微星,2022,3047,1840,1207,60.39,39.61,39.61
2379 瑞昱,2022,4943,3977,966,80.46,19.54,19.54
2380 虹光,2022,389,222,167,57.07,42.93,42.93
2382 廣達,2022,62097,40324,21773,64.94,35.06,35.06
2383 台光電,2022,3712,3005,707,80.95,19.05,19.05
2385 群光,2022,16437,7030,9407,42.77,57.23,42.77
2387 精元,2022,8187,4067,4120,49.68,50.32,49.68
2388 威盛,2022,368,235,133,63.86,36.14,36.14
2392 正崴,2022,28364,15429,12935,54.4,45.6,45.6
2393 億光,2022,3954,2214,1740,55.99,44.01,44.01
2395 研華,2022,3488,1942,1546,55.68,44.32,44.32
2397 友通,2022,661,297,364,44.93,55.07,44.93
2401 凌陽,2022,350,235,115,67.14,32.86,32.86
2402 毅嘉,2022,3114,1672,1442,53.69,46.31,46.31
2404 漢唐,2022,911,704,207,77.28,22.72,22.72
2405 輔信,2022,198,122,76,61.62,38.38,38.38
2406 國碩,2022,154,112,42,72.73,27.27,27.27
2408 南亞科,2022,3738,2710,1028,72.5,27.5,27.5
2409 友達,2022,36702,24212,12490,65.97,34.03,34.03
2412 中華電,2022,20067,14063,6004,70.08,29.92,29.92
2413 環科,2022,787,353,434,44.85,55.15,44.85
2417 圓剛,2022,209,135,74,64.59,35.41,35.41
2419 仲琦,2022,1362,799,563,58.66,41.34,41.34
2420 新巨,2022,917,440,477,48,52,48
2421 建準,2022,6868,3159,3709,46,54,46
2423 固緯,2022,389,260,129,66.84,33.16,33.16
2425 承啟,2022,,,,53,47,47
2426 鼎元,2022,730,213,517,29.18,70.82,29.18
2427 三商電,2022,787,591,196,75.1,24.9,24.9
2428 興勤,2022,,,,50,50,50
2433 互盛電,2022,,,,96.5,3.5,3.5
2436 偉詮電,2022,,,,60,40,40
2439 美律,2022,5438,2407,3031,44.26,55.74,44.26
2440 太空梭,2022,,,,76.42,23.58,23.58
2441 超豐,2022,4187,1841,2346,43.97,56.03,43.97
2442 新美齊,2022,67,43,24,64.18,35.82,35.82
2449 京元電子,2022,9445,5687,3758,60.21,39.79,39.79
2450 神腦,2022,2141,923,1218,43.11,75.78,24.22
2451 創見,2022,992,497,495,50.1,49.9,49.9
2453 凌群,2022,,,,69,31,31
2454 聯發科,2022,18993,15474,3519,81.47,18.53,18.53
2455 全新,2022,303,190,113,62.71,37.29,37.29
2457 飛宏,2022,4065,2106,1959,51.81,48.19,48.19
2458 義隆,2022,1143,704,439,61.59,38.41,38.41
2459 敦吉,2022,,,,68.12,31.88,31.88
2462 良得電,2022,46,25,21,54.35,45.65,45.65
2464 盟立,2022,1245,934,311,75.02,24.98,24.98
2467 志聖,2022,385,292,93,75.84,24.16,24.16
2468 華經,2022,365,,,,,0
2472 立隆電,2022,,,,52.09,47.91,47.91
2474 可成,2022,3942,2486,1456,63.06,36.94,36.94
2478 大毅,2022,764,434,330,60.73,43.19,43.19
2480 敦陽科,2022,687,479,208,69.72,30.28,30.28
2481 強茂,2022,1541,597,944,38.74,61.26,38.74
2483 百容,2022,680,252,428,37.06,62.94,37.06
2484 希華,2022,740,248,492,33.51,66.49,33.51
2485 兆赫,2022,1211,475,736,39.22,60.78,39.22
2486 一詮,2022,812,494,318,60.84,39.16,39.16
2488 漢平,2022,891,310,581,34.79,65.21,34.79
2489 瑞軒,2022,2146,1209,937,56.34,43.66,43.66
2491 吉祥全,2022,,,,60,40,40
2492 華新科,2022,5598,2777,2821,49.61,50.39,49.61
2495 普安,2022,397,275,122,69.27,30.73,30.73
2498 宏達電,2022,2173,1290,883,59.36,40.64,40.64
2501 國建,2022,1454,654,800,44.98,55.02,44.98
2504 國產,2022,629,506,123,80.45,19.55,19.55
2505 國揚,2022,76,36,40,47.37,52.63,47.37
2506 太設,2022,79,44,35,55.7,44.3,44.3
2509 全坤建,2022,54,24,30,44.44,55.56,44.44
2511 太子,2022,248,138,110,55.65,44.35,44.35
2514 龍邦,2022,24,9,15,37.5,62.5,37.5
2515 中工,2022,951,614,337,64.56,35.44,35.44
2516 新建,2022,406,299,107,73.65,26.35,26.35
2520 冠德,2022,95,59,36,62.11,37.89,37.89
2524 京城,2022,39,18,21,46.15,53.85,46.15
2527 宏璟,2022,152,90,62,59.21,40.79,40.79
2528 皇普,2022,38,14,24,36.84,63.16,36.84
2530 華建,2022,89,68,21,76.4,23.6,23.6
2534 宏盛,2022,85,48,37,56.47,43.53,43.53
2535 達欣工,2022,680,561,119,82.5,17.5,17.5
2536 宏普,2022,29,17,12,58.62,41.38,41.38
2537 聯上發,2022,34,14,20,41.18,58.82,41.18
